Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
gan-1-33,"2-((((3-(diethylamino)propoxy)carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C48H85NO7,788.208,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCCN(CC)CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-1-105,"3-((4,4-bis(octyloxy)butanoyl)oxy)-2-((((3-(diethylamino)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C50H93NO9,852.292,O=C(OCC(COC(OCCCN(CC)CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)CCC(OCCCCCCCC)OCCCCCCCC
gan-2-2,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(diethylamino)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C42H71NO7,702.03,O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(OCCCN(CC)CC)=O)COC(CC1(C[C@H]2C3)C[C@H]3C[C@H](C2)C1)=O
gan-1-114,"1,1',1'',1'''-(1,4,8,12-tetraazacyclopentadecane-1,4,8,12-tetrayl)tetrakis(dodecan-2-ol)",C59H122N4O4,951.649,OC(CCCCCCCCCC)CN1CCCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CCCN(CC(O)CCCCCCCCCC)CCC1
gan-1-93,"(3R,6R)-6-decyl-4-(2-hydroxydodecyl)-3-(((2-hydroxydodecyl)oxy)methyl)morpholin-2-one",C39H77NO5,640.047,O=C1[C@H](N(CC(CCCCCCCCCC)O)C[C@H](O1)CCCCCCCCCC)COCC(O)CCCCCCCCCC
gan-1-91,"(3S,6S)-6-decyl-4-(2-hydroxydodecyl)-3-(prop-2-yn-1-yl)morpholin-2-one",C29H53NO3,463.747,O=C1[C@@H](N(C[C@@H](O1)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC#C
gan-2-3,"2-(((imidazo[2,1-b]thiazole-6-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C46H72N2O6S,781.15,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN(C=CS2)C2=N1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gn-2-6,"2-(((1H-indazole-3-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C48H74N2O6,775.128,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=NNC2=C1C=CC=C2)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-7,"2-(((2-aminopyrimidine-5-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C45H73N3O6,752.094,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=C(N)N=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-8,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=C(N)N=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O,C45H72N2O6,737.079,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=CC=N1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-9,"2-(((quinoxaline-6-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C49H74N2O6, 787.1390,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CC=C(N=CC=N2)C2=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-13,"(4-((3-(((9Z,12Z)-octadeca-9,12-dienoyl)oxy)-2-((((9Z,12Z)-octadeca-9,12-dienoyl)oxy)methyl)propoxy)carbonyl)phenyl)boronic acid",C47H75BO8,778.919,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CC=C(B(O)O)C=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-5,"2-(((3-((tert-butoxycarbonyl)amino)propanoyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C48H83NO8,802.191,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(CCNC(OC(C)(C)C)=O)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
